,contenido,reply,retweet,like
237,"¡SAL A VOTAR POR EL CAMBIO! 

Este 7 de febrero tú decides. Vota por ti y tu familia, VOTA por la capacidad de construir un Ecuador con EMPLEO y oportunidades.

VOTA TODO 21-6 . 

#EcuadorConLasso 
#YoVotoPorElCambio 
#LassoPresidente2021",347,1100,"5,5 mil"
238,"Salgamos a votar. El 7 de febrero no es una elección cualquiera. Está en tus manos evitar que lleven al Ecuador a la miseria o escoger la opción con la CAPACIDAD PARA CAMBIAR junto a la alianza 21-6. 

Te invito a VOTAR POR EL CAMBIO .

: 
@Vera_ASuManera
.

#EcuadorConLasso",124,474,"1,3 mil"
239,"HAY QUE APLICAR MANO DE HIERRO PARA ACABAR CON LA DELINCUENCIA .

Con liderazgo, le daremos el respaldo político a la fuerza pública del Ecuador. LA SEGURIDAD CREA EMPLEOS . 

: 
@Vera_ASuManera
.

#EcuadorConLasso",114,431,"1,8 mil"
240,"Mi gobierno llevará a cabo el proceso de vacunación con vacunas aprobadas por la FDA o la Unión Europea. Hay que desideologizar el plan para vacunar a los ecuatorianos, SIN SALUD NO HAY REACTIVACIÓN ECONÓMICA.

: 
@Vera_ASuManera
.

#EcuadorConLasso",484,987,"2,6 mil"
241,"Durante los 4 años de gobierno vamos a provocar un SHOCK DE INVERSIÓN para la generación de empleo. ¡Abriremos la puerta de las oportunidades! Trabajaremos por la prosperidad de todos . 

: 
@Vera_ASuManera
.

#EcuadorConLasso",124,456,"1,4 mil"
242,"Yo quiero construir unidad en el Ecuador. ¡Unidos respetando la diversidad! No es lo más común en la política, pero ante las crisis que enfrentamos debemos escoger al país primero. 

: 
@Vera_ASuManera
.

#EcuadorConLasso",40,174,667
243,"Jamás apoyaré a quienes negocian con terroristas en el exterior y reciben dinero para su campaña, a quienes han perseguido a los ecuatorianos y destruido al país. Que ellos se queden en el pasado, este 7 de febrero VOTA POR EL CAMBIO .

: #VeraASuManera.

#EcuadorConLasso",72,345,"1,4 mil"
244,"Hoy, 4 de febrero, entrevista con 
@CarlosVerareal
 en 
@tctelevision
 . 

Podrán acompañarme en nuestra transmisión EN VIVO desde mis redes sociales .

FB: https://facebook.com/LassoGuillermo/posts/5042286369145899…
YT: https://youtu.be/CniYRzTl1Pk

#LassoPresidente2021 
#EcuadorConLasso 
#LassoYaGanó",80,415,"1,3 mil"
245,"¡EL CAMBIO YA VIENE! 

Por todas las calles de Guayaquil sentimos el apoyo de la gente 

VOTA TODO 21-6 ESTE 7 DE FEBRERO .

#CapacidadParaCambiar 
#LassoPresidente2021",27,148,632
246,¡EL CAMBIO YA SE SIENTE!,142,498,"1,7 mil"
247,"¡HOY! 

Te esperamos en la 9 de octubre para celebrar la llegada del CAMBIO .

VAMOS CON CAPACIDAD PARA CAMBIAR .

#CapacidadParaCambiar 
#LassoPresidente2021",159,637,"2,2 mil"
248,"¡LOS SUBSIDIOS SON PARA LOS POBRES!

#CapacidadParaCambiar
#LassoPresidente2021",166,481,"2,2 mil"
249,"Tenemos una gran tarea por delante: superar la crisis económica, sanitaria, de seguridad ciudadana y de corrupción. Contamos con el Plan de Gobierno y un gran grupo de ecuatorianos para empezar el CAMBIO. 

: Rueda de Prensa en Guayaquil. 

#LassoPresidente2021",408,1400,"4,7 mil"
250,"El Estado no tiene un solo centavo. Por eso tenemos que promover la inversión para la generación de empleo. 

QUE EL ECUADOR VUELVA A SER UN PAÍS PRÓSPERO .

: Rueda de Prensa en Guayaquil. 

#LassoPresidente2021",113,303,"1,1 mil"
251,"El pueblo ecuatoriano está cansado de 14 años de Socialismo del Siglo XXI. ¡Quieren el CAMBIO! Nosotros representamos la alternativa de los empleos bien pagados, una economía en crecimiento y oportunidades para todos.

: Rueda de Prensa en Guayaquil. 

#LassoPresidente2021",39,60,367
252,"¡QUITO YA SE DECIDIÓ POR EL CAMBIO!

El apoyo de los quiteños se siente a 4 días de las elecciones. Ya estamos en la recta final, listos para trabajar por un Ecuador de oportunidades . 

#CapacidadParaCambiar
#LassoPresidente2021",137,378,"1,3 mil"
253,"¡ESTAMOS EN VIVO! 

Únete a la GRAN CARAVANA del cierre de campaña en Quito con la familia de 
@CREOEcuador
 . 

En el siguiente link podrán acompañarnos: https://facebook.com/LassoGuillermo/videos/512097899761467/…

EL CAMBIO YA LLEGA . 

#CapacidadParaCambiar 
#LassoPresidente2021",195,490,"1,9 mil"
254,"¡MÁS EMPLEO PARA LAS MUJERES ECUATORIANAS!

Nuestro #CompromisoFirmado es aumentar el salario básico hasta $500, para que las mujeres ecuatorianas puedan empoderarse y sacar adelante a sus familias. 

¡EL CAMBIO VIENE !

#CapacidadParaCambiar
#LassoPresidente2021",226,735,"3,2 mil"
255,"¡LA GRAN FIESTA DEL CAMBIO! 

Acompáñanos mañana en una caravana por Guayaquil con 
@jaimenebotsaadi
, 
@CREOEcuador
 y 
@La6Ecuador
 . 

Te esperamos con tu familia, amigos y todos tus seres queridos en la 9 de Octubre.

#LassoPresidente2021",93,337,1 mil
256,"¡SALGAMOS A VOTAR! 

Sigamos los protocolos y las recomendaciones, y juntos evitemos el sufrimiento de 4 años más del Socialismo del Siglo XXI. 

En estas elecciones, EL CAMBIO VIENE CON LA 21-6 . 

: Cierre de campaña en Cuenca.

#LassoPresidente2021",96,361,1 mil
257,"No dejes que otros decidan por ti, sal tú a decidir por tus hijos, tus nietos, tu familia y TU FUTURO. 

VOTAR POR LA ALIANZA 21-6 ES VOTAR POR UN ECUADOR DE OPORTUNIDADES . 

: Cierre de campaña en Cuenca.

#LassoPresidente2021",58,247,862
258,"MANTA ABRE SUS PUERTAS AL CAMBIO . 

La alianza 21 - 6 trabaja en Manabí por más ingresos para la gente, agua potable en las casas y la teleprosperidad. 

Juntos tenemos la #CapacidasParaCambiar .

#LassoPresidente2021",55,217,714
259,"¡RESCATAREMOS AL ECUADOR! 

#CapacidadParaCambiar 
#LassoPresidente2021",146,420,"1,4 mil"
260,"¡ESTAMOS EN VIVO! Nos pueden acompañar en este recorrido con 
@La6Ecuador
 desde mi Facebook .

Les comparto el link: https://facebook.com/LassoGuillermo/videos/714373272807170…

Un abrazo a todos los manabitas.

#CapacidadParaCambiar
#LassoPresidente2021",58,184,674
261,"¡AHORA! Estamos recorriendo la maravillosa ciudad de Manta con 
@La6Ecuador
 . Muchas gracias por su cariño y apoyo en este gran visita por Manabí. 

EL CAMBIO YA LLEGA .

#CapacidadParaCambiar 
#LassoPresidente2021",184,525,"2,1 mil"
262,"Los dos objetivos prioritarios de mi gobierno serán: Plan de Vacunación y MANO DE HIERRO para luchar contra la delincuencia.

#CapacidadParaCambiar
#LassoPresidente2021",102,456,"1,6 mil"
263,"HAY QUE ATRAER LA INVERSIÓN .

Tenemos la capacidad de establecer alianzas público - privadas que nos permitirán dar solvencia al Estado y generar confianza local e internacional para poder reactivar la economía. 

: Rueda de Prensa en Portoviejo. 

#LassoPresidente2021",451,1200,8 mil
264,"Mis propuestas para Manabí: Créditos a 30 años plazo y al 1% de interés, junto con obras de infraestructura en proyectos vecinales para el agro. Además, impulsaremos programas de agua potable y electricidad. 

: Rueda de Prensa en Portoviejo. 

#LassoPresidente2021",117,339,"1,2 mil"
265,"Junto a 
@ABorreroVega
, conseguiremos diversificar los proveedores de vacunas y ejecutar un programa de vacunación masivo de 9 millones de ecuatorianos en 100 días. La meta: proteger la vida de la población y reactivar la economía.

: 
@majestadradioec
. 

#LassoPresidente2021",101,318,"1,4 mil"
266,"Nuestra propuesta busca EL CRECIMIENTO ECONÓMICO Y LA JUSTICIA SOCIAL. Aumentaremos el salario básico hasta $500, reduciremos impuestos y aranceles, y eliminaremos el ISD para el beneficio de los trabajadores y el sector privado.

: 
@majestadradioec
. 

#LassoPresidente2021",66,309,1 mil
267,"“Lasso va a subir a $500 dólares el salario básico” - 
@jaimenebotsaadi
.

#CapacidadParaCambiar
#LasosPresidente2021",156,365,"1,6 mil"
268,"En las relaciones internacionales serán prioridad los intereses del pueblo ecuatoriano. Debemos fortalecer los lazos con países como Estados Unidos, nuestro principal socio comercial. ¡Vamos por más Ecuador en el mundo! 

: 
@CNNEE
. 

#concluLASSO 
#LassoPresidente2021",147,468,"1,4 mil"
269,"Solo 3 de cada 10 ecuatorianos tienen un empleo formal. La pandemia destruyó más de 700.000 trabajos y los malos gobiernos alrededor de 1 millón 300 mil. Nuestro objetivo: CREAR 2 MILLONES DE EMPLEOS DIGNOS Y BIEN PAGADOS. 

: 
@CNNEE
.

#concluLASSO
#LassoPresidente2021",120,345,"1,1 mil"
270,"Nadie le entrega al quemeimportismo el futuro de los hijos y su propio presente. Este 7 de febrero, el voto debe ser responsable y serio. Con #CapacidadParaCambiar, lucharemos por el crecimiento económico y la justicia social.

: 
@CNNEE
.

#concluLASSO 
#LassoPresidente2021",161,403,"1,8 mil"
271,"La crisis económica y la pandemia han golpeado el estado de ánimo de los ecuatorianos: sienten desesperanza. Por eso proponemos un modelo de gestión que promueva la libertad para crear empleo y construir un mejor futuro. 

: 
@CNNEE
.

#concluLASSO 
#LassoPresidente2021",150,360,"1,6 mil"
272,"El CAMBIO es por la democracia, la libertad y un Ecuador de oportunidades. Vamos a ir por el camino de la prosperidad para sacar adelante a las familias ecuatorianas. 

: 
@CNNEE
.

#concluLASSO 
#LassoPresidente2021",96,336,"1,3 mil"
273,"Podrán acompañarme a la entrevista en los siguientes links .

YT: https://youtu.be/Srf7aJv5T1k
FB: https://facebook.com/LassoGuillermo/posts/5030340290340507…

¡Vamos con #CapacidadParaCambiar!

#LassoPresidente2021",364,567,"1,8 mil"
274,"¡Estamos en el Distrito 1 de Guayas con 
@JuanPHidalgoC
! En este gran recorrido me acompaña 
@MLAlcivar
 y toda mi familia . Un abrazo y nos vemos por la Parroquia Ximena. 

#CapacidadParaCambiar 
#LassoPresidente2021",208,274,846
275,"Esta noche 
@soyfdelrincon
 entrevista en Conclusiones a 
@LassoGuillermo
, candidato a la presidencia de #Ecuador por el movimiento político Creando Oportunidades #CREO. Tus preguntas, con la etiqueta #concluLASSO",117,279,"1,1 mil"
276,"¡Desde #Guayas trabajamos por el bien del país! 

Recibí a Guillermo Lasso, candidato a la presidencia del #Ecuador, conversamos sobre su plan de Gobierno y acciones conjuntas para lograr el desarrollo productivo de Guayas con un Plan de Riego, modernización vial e incentivos.",88,415,"1,3 mil"
277,"Los subsidios SON PARA LOS POBRES. No son para los ricos, ni para el narcotráfico, ni para el contrabando. 

#CapacidadParaCambiar 
#LassoPresidente2021",132,346,"1,2 mil"
278,"En 6 días tenemos una responsabilidad histórica: VOTAR POR LA CAPACIDAD PARA CAMBIAR . 

En estas elecciones, #ElCambioEstáEnTusManos .

#LassoPresidente2021",172,561,2 mil
279,"Las 4 claves de mi Plan de Gobierno: fortalecer la dolarización, luchar contra la delincuencia, aumentar el salario básico hasta $500 y vacunar a 9 millones de ecuatorianos en 100 días.

#CapacidadParaCambiar
#LassoPresidente2021",96,449,"1,8 mil"
280,"¡Estamos en el Distrito 1 de Guayas con 
@JuanPHidalgoC
! En este gran recorrido me acompaña 
@MLAlcivar
 y toda mi familia . Un abrazo y nos vemos por la Parroquia Ximena. 

#CapacidadParaCambiar 
#LassoPresidente2021",192,670,"2,4 mil"
281,"Esta noche 
@soyfdelrincon
 entrevista en Conclusiones a 
@LassoGuillermo
, candidato a la presidencia de #Ecuador por el movimiento político Creando Oportunidades #CREO. Tus preguntas, con la etiqueta #concluLASSO",2000.0,1600,"4,2 mil"
282,"¡Desde #Guayas trabajamos por el bien del país! 

Recibí a Guillermo Lasso, candidato a la presidencia del #Ecuador, conversamos sobre su plan de Gobierno y acciones conjuntas para lograr el desarrollo productivo de Guayas con un Plan de Riego, modernización vial e incentivos.",140,389,"1,2 mil"
283,"Los subsidios SON PARA LOS POBRES. No son para los ricos, ni para el narcotráfico, ni para el contrabando. 

#CapacidadParaCambiar 
#LassoPresidente2021",318,1000,"3,6 mil"
284,"En 6 días tenemos una responsabilidad histórica: VOTAR POR LA CAPACIDAD PARA CAMBIAR . 

En estas elecciones, #ElCambioEstáEnTusManos .

#LassoPresidente2021",69,284,992
285,"Las 4 claves de mi Plan de Gobierno: fortalecer la dolarización, luchar contra la delincuencia, aumentar el salario básico hasta $500 y vacunar a 9 millones de ecuatorianos en 100 días.

#CapacidadParaCambiar
#LassoPresidente2021",80,204,776
286,"¡Estamos en el Distrito 1 de Guayas con 
@JuanPHidalgoC
! En este gran recorrido me acompaña 
@MLAlcivar
 y toda mi familia . Un abrazo y nos vemos por la Parroquia Ximena. 

#CapacidadParaCambiar 
#LassoPresidente2021",166,310,"1,9 mil"
287,"Esta noche 
@soyfdelrincon
 entrevista en Conclusiones a 
@LassoGuillermo
, candidato a la presidencia de #Ecuador por el movimiento político Creando Oportunidades #CREO. Tus preguntas, con la etiqueta #concluLASSO",251,630,"2,7 mil"
288,"¡Desde #Guayas trabajamos por el bien del país! 

Recibí a Guillermo Lasso, candidato a la presidencia del #Ecuador, conversamos sobre su plan de Gobierno y acciones conjuntas para lograr el desarrollo productivo de Guayas con un Plan de Riego, modernización vial e incentivos.",573,1400,"8,7 mil"
289,"Los subsidios SON PARA LOS POBRES. No son para los ricos, ni para el narcotráfico, ni para el contrabando. 

#CapacidadParaCambiar 
#LassoPresidente2021",995,2100,"6,8 mil"
290,"En 6 días tenemos una responsabilidad histórica: VOTAR POR LA CAPACIDAD PARA CAMBIAR . 

En estas elecciones, #ElCambioEstáEnTusManos .

#LassoPresidente2021",150,855,"3,3 mil"
291,"Las 4 claves de mi Plan de Gobierno: fortalecer la dolarización, luchar contra la delincuencia, aumentar el salario básico hasta $500 y vacunar a 9 millones de ecuatorianos en 100 días.

#CapacidadParaCambiar
#LassoPresidente2021",231,1000,"2,7 mil"
292,"¡Estamos en el Distrito 1 de Guayas con 
@JuanPHidalgoC
! En este gran recorrido me acompaña 
@MLAlcivar
 y toda mi familia . Un abrazo y nos vemos por la Parroquia Ximena. 

#CapacidadParaCambiar 
#LassoPresidente2021",68,364,"1,2 mil"
293,"Esta noche 
@soyfdelrincon
 entrevista en Conclusiones a 
@LassoGuillermo
, candidato a la presidencia de #Ecuador por el movimiento político Creando Oportunidades #CREO. Tus preguntas, con la etiqueta #concluLASSO",87,601,"2,4 mil"
294,"¡Desde #Guayas trabajamos por el bien del país! 

Recibí a Guillermo Lasso, candidato a la presidencia del #Ecuador, conversamos sobre su plan de Gobierno y acciones conjuntas para lograr el desarrollo productivo de Guayas con un Plan de Riego, modernización vial e incentivos.",112,592,"1,7 mil"
295,"Los subsidios SON PARA LOS POBRES. No son para los ricos, ni para el narcotráfico, ni para el contrabando. 

#CapacidadParaCambiar 
#LassoPresidente2021",81,571,"2,1 mil"
296,"En 6 días tenemos una responsabilidad histórica: VOTAR POR LA CAPACIDAD PARA CAMBIAR . 

En estas elecciones, #ElCambioEstáEnTusManos .

#LassoPresidente2021",425,2100,"5,3 mil"
297,"Las 4 claves de mi Plan de Gobierno: fortalecer la dolarización, luchar contra la delincuencia, aumentar el salario básico hasta $500 y vacunar a 9 millones de ecuatorianos en 100 días.

#CapacidadParaCambiar
#LassoPresidente2021",221,549,"1,7 mil"
298,"¡Estamos en el Distrito 1 de Guayas con 
@JuanPHidalgoC
! En este gran recorrido me acompaña 
@MLAlcivar
 y toda mi familia . Un abrazo y nos vemos por la Parroquia Ximena. 

#CapacidadParaCambiar 
#LassoPresidente2021",175,354,"1,2 mil"
299,"Esta noche 
@soyfdelrincon
 entrevista en Conclusiones a 
@LassoGuillermo
, candidato a la presidencia de #Ecuador por el movimiento político Creando Oportunidades #CREO. Tus preguntas, con la etiqueta #concluLASSO",501,1000,"3,6 mil"
