,contenido,reply,retweet,like
53," Disposición a trabajar de forma ordenada y pacífica

Tenemos el compromiso de trabajar en beneficio de los ecuatorianos. En las próximas semanas informaré de los avances de este proceso que enriquece a nuestra democracia y al país. Les mando un fuerte abrazo. ",107,317,"1,7 mil"
54,"Les contaré un breve resumen del inicio del proceso de transición:

 A partir del lunes, se iniciarán las Comisiones Bilaterales de cada ministerio, donde se irá recibiendo la información detallada de cada cartera de Estado

 La principal urgencia es el Plan de Vacunación",153,371,"1,7 mil"
55,"Agradezco a los quiteños que nos recibieron con mucho entusiasmo. Fue un gusto compartir con ustedes. 

Seguimos encontrándonos y trabajando por un mejor Ecuador. ",698,848,4 mil
56,"A 5 años del terremoto del #16Abril, no hay un proceso serio y transparente de reconstrucción y reparación con las familias afectadas. Manabí y Esmeraldas son prioridad en nuestra gestión. La solidaridad que nos unió como país en la tragedia, debe estar más presente que nunca.",668,865,"6,7 mil"
57,Ecuador necesita que sigamos encontrándonos. Nuestro Plan de Gobierno tiene como objetivo lograr un verdadero cambio para el bienestar de las familias. Les comparto 10 de las propuestas que serán prioridad durante nuestra gestión. ,248,702,"3,4 mil"
58,"Fondo Semilla es una iniciativa para apoyar el espíritu emprendedor de jóvenes, mujeres y cada ecuatoriano con un sueño de salir adelante. La libertad es el camino para emprender, innovar y crear empleo. 

Los mejores días están cerca para los emprendedores en Ecuador. ",216,590,"2,5 mil"
59,"Hoy en 
@Expresoec
 conversamos de lo que será nuestra gestión, pronto podrán ver la entrevista.

Seguimos trabajando para fortalecer el Ecuador del encuentro. ",496,959,"6,2 mil"
60,Sabemos que el arte y la cultura fueron golpeados por la pandemia. El cambio ya llegó y desde ya estamos trabajando. Quiero que tengan la certeza de que cuentan con apoyo integral. Aquí encontrarán unas de nuestras propuestas para ustedes: https://guillermolasso.ec/wp-content/uploads/2021/03/Lasso-Plan-Economia-Naranja.pdf…,377,749,"4,4 mil"
61,"En el #DíaMundialDelArte agradezco a todos los artistas que con sus canciones nos alegraron, a los profesionales que aportaron a las propuestas de economía naranja y a las iniciativas ciudadanas que a través del arte y la cultura se unieron al Ecuador del ENCUENTRO. ",1000.0,3300,"16,3 mil"
62,Gracias por su apoyo. No los voy a defraudar. ,247,317,2 mil
63,"We thank you 
@SecBlinken
 for your best wishes. Ecuador and The United States need to work together in areas of health, development and economic recovery. We hope that the pursuit of prosperity continues to strengthen the relationship between both countries.",801,873,"7,2 mil"
64,"En Ecuador hay hambre, pobreza, falta de empleo, desnutrición crónica infantil y varias crisis por enfrentar. Nuestro Plan de Gobierno apunta a solucionar estos problemas y superar los desafíos de nuestro país con entereza y decisión. 

: 
@NTN24Zoom
.",194,449,3 mil
